as_of_year,agency_code,loan_type,property_type,loan_purpose,occupancy,loan_amt_thousands,preapproval,county_code,applicant_income_thousands,purchaser_type,hoepa_status,lien_status,population,ffiec_median_fam_income,tract_to_msa_income_pct,num_owner_occupied_units,num_1_to_4_family_units,approved
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,2,218.0,Not applicable,60.0,165.0,"Commercial bank, savings bank or savings association",Not a HOEPA loan,Secured by a first lien,997.0,77600.0,134.37,232.0,891.0,1.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,2,114.0,Preapproval was not requested,93.0,240.0,Freddie Mac (FHLMC),Not a HOEPA loan,Secured by a first lien,5693.0,58900.0,101.43,1661.0,2098.0,1.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,154.0,Not applicable,99.0,113.0,Freddie Mac (FHLMC),Not a HOEPA loan,Not applicable (purchased loans),8861.0,77000.0,133.91,2384.0,2431.0,1.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,218.0,Not applicable,57.0,82.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,5509.0,72500.0,167.09,1367.0,1559.0,0.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,302.0,Not applicable,103.0,92.0,Fannie Mae (FNMA),Not a HOEPA loan,Secured by a first lien,2458.0,106200.0,145.16,748.0,760.0,1.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,280.0,Not applicable,187.0,1.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,5356.0,66600.0,162.78,1696.0,1907.0,0.0
2016,Department of Housing and Urban Development (HUD),FHA-insured (Federal Housing Administration),One to four-family (other than manufactured housing),Home purchase,1,403.0,Preapproval was not requested,61.0,102.0,Ginnie Mae (GNMA),Not a HOEPA loan,Secured by a first lien,8762.0,69900.0,140.85,1698.0,1938.0,1.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,641.0,Not applicable,59.0,124.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,4165.0,85000.0,141.56,1114.0,1205.0,0.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,213.0,Not applicable,25.0,66.0,Fannie Mae (FNMA),Not a HOEPA loan,Secured by a first lien,7033.0,80300.0,92.97,1413.0,1879.0,1.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,280.0,Not applicable,123.0,106.0,Fannie Mae (FNMA),Not a HOEPA loan,Not applicable (purchased loans),1999.0,68600.0,163.28,649.0,686.0,1.0
2016,National Credit Union Administration (NCUA),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,160.0,Not applicable,59.0,106.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,6829.0,106200.0,100.48,2049.0,2268.0,1.0
2016,Consumer Financial Protection Bureau (CFPB),VA-guaranteed (Veterans Administration),One to four-family (other than manufactured housing),Refinancing,1,298.0,Not applicable,57.0,87.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,9162.0,59200.0,155.46,1972.0,2255.0,0.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,459.0,Not applicable,119.0,281.0,Freddie Mac (FHLMC),Not a HOEPA loan,Secured by a first lien,4653.0,72600.0,105.64,1113.0,1427.0,1.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,165.0,Not applicable,35.0,73.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,6796.0,72800.0,85.98,1630.0,2011.0,0.0
2016,National Credit Union Administration (NCUA),VA-guaranteed (Veterans Administration),One to four-family (other than manufactured housing),Home purchase,1,363.0,Preapproval was requested,101.0,166.0,"Commercial bank, savings bank or savings association",Not a HOEPA loan,Secured by a first lien,6474.0,73500.0,112.88,1688.0,2037.0,1.0
2016,Federal Deposit Insurance Corporation (FDIC),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,2,63.0,Not applicable,69.0,97.0,Freddie Mac (FHLMC),Not a HOEPA loan,Secured by a first lien,1977.0,60400.0,87.94,611.0,984.0,1.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,193.0,Not applicable,27.0,65.0,Other type of purchaser,Not a HOEPA loan,Secured by a first lien,3716.0,78500.0,112.09,976.0,1196.0,1.0
2016,National Credit Union Administration (NCUA),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,2,154.0,Not applicable,31.0,156.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,9197.0,45300.0,129.61,1913.0,3107.0,1.0
2016,Department of Housing and Urban Development (HUD),VA-guaranteed (Veterans Administration),One to four-family (other than manufactured housing),Home purchase,1,336.0,Not applicable,43.0,119.0,Ginnie Mae (GNMA),Not a HOEPA loan,Secured by a first lien,8319.0,61600.0,122.69,2328.0,2805.0,1.0
2016,National Credit Union Administration (NCUA),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,447.0,Preapproval was not requested,117.0,167.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,4230.0,67200.0,188.68,1193.0,1363.0,1.0
2016,Department of Housing and Urban Development (HUD),FHA-insured (Federal Housing Administration),One to four-family (other than manufactured housing),Refinancing,1,47.0,Not applicable,167.0,43.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,2594.0,52400.0,67.35,711.0,1203.0,1.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,294.0,Not applicable,5.0,83.0,Fannie Mae (FNMA),Not a HOEPA loan,Secured by a first lien,6657.0,60200.0,127.8,2467.0,2768.0,1.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,132.0,Not applicable,201.0,61.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,11314.0,68000.0,181.73,3297.0,3503.0,0.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,624.0,Preapproval was not requested,5.0,410.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,4632.0,80100.0,135.86,1241.0,1302.0,0.0
2016,National Credit Union Administration (NCUA),FHA-insured (Federal Housing Administration),One to four-family (other than manufactured housing),Refinancing,1,173.0,Not applicable,3.0,56.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,8554.0,66400.0,97.86,2694.0,3391.0,0.0
2016,Federal Reserve System (FRS),FHA-insured (Federal Housing Administration),One to four-family (other than manufactured housing),Home purchase,1,73.0,Preapproval was not requested,201.0,48.0,Ginnie Mae (GNMA),Not a HOEPA loan,Secured by a first lien,5141.0,68000.0,62.34,1016.0,1521.0,1.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,212.0,Preapproval was not requested,129.0,85.0,Freddie Mac (FHLMC),Not a HOEPA loan,Secured by a first lien,1767.0,60200.0,90.47,851.0,1925.0,1.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,332.0,Not applicable,105.0,95.0,Freddie Mac (FHLMC),Not a HOEPA loan,Secured by a first lien,5216.0,66300.0,107.1,1699.0,2623.0,1.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,2,208.0,Not applicable,33.0,217.0,Freddie Mac (FHLMC),Not a HOEPA loan,Not applicable (purchased loans),7936.0,90300.0,121.34,2074.0,2026.0,1.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,480.0,Preapproval was requested,31.0,239.0,"Life insurance company, credit union, mortgage bank, or finance company",Not a HOEPA loan,Secured by a first lien,3370.0,74700.0,176.02,803.0,1181.0,1.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,85.0,Not applicable,147.0,53.0,Freddie Mac (FHLMC),Not a HOEPA loan,Secured by a first lien,6704.0,63800.0,106.21,1833.0,2266.0,1.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,317.0,Not applicable,17.0,127.0,Fannie Mae (FNMA),Not a HOEPA loan,Not applicable (purchased loans),4163.0,98600.0,132.93,1292.0,1366.0,1.0
2016,Department of Housing and Urban Development (HUD),FHA-insured (Federal Housing Administration),One to four-family (other than manufactured housing),Refinancing,1,244.0,Not applicable,37.0,50.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,4397.0,62400.0,141.77,1294.0,1411.0,0.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,179.0,Not applicable,33.0,91.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,5728.0,90300.0,114.68,1653.0,1967.0,0.0
2016,Federal Deposit Insurance Corporation (FDIC),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,740.0,Not applicable,37.0,262.0,"Life insurance company, credit union, mortgage bank, or finance company",Not a HOEPA loan,Secured by a first lien,6517.0,62400.0,126.46,617.0,1087.0,1.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,558.0,Not applicable,3.0,77.0,Fannie Mae (FNMA),Not a HOEPA loan,Secured by a first lien,3862.0,87900.0,83.14,508.0,861.0,1.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,474.0,Not applicable,85.0,219.0,Freddie Mac (FHLMC),Not a HOEPA loan,Not applicable (purchased loans),4555.0,105200.0,122.33,996.0,1408.0,1.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,417.0,Preapproval was not requested,31.0,260.0,Fannie Mae (FNMA),Not a HOEPA loan,Secured by a first lien,4620.0,113000.0,115.35,1081.0,1170.0,1.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,329.0,Not applicable,85.0,130.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,8391.0,71700.0,141.33,2300.0,2995.0,0.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,361.0,Not applicable,95.0,256.0,"Life insurance company, credit union, mortgage bank, or finance company",Not a HOEPA loan,Secured by a first lien,2765.0,72500.0,123.96,1189.0,1408.0,1.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home improvement,1,10.0,Not applicable,86.0,40.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Not secured by a lien,5235.0,48100.0,154.1,1347.0,1832.0,0.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,135.0,Not applicable,109.0,62.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,4192.0,64100.0,54.72,826.0,1261.0,0.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",Manufactured housing,Home purchase,1,32.0,Not applicable,73.0,27.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,4991.0,64200.0,71.59,1309.0,2033.0,0.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,120.0,Not applicable,163.0,53.0,Fannie Mae (FNMA),Not a HOEPA loan,Secured by a first lien,3253.0,53500.0,113.85,1281.0,1487.0,1.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,518.0,Not applicable,183.0,206.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,4523.0,76600.0,197.48,1419.0,1947.0,1.0
2016,Department of Housing and Urban Development (HUD),FHA-insured (Federal Housing Administration),One to four-family (other than manufactured housing),Refinancing,1,149.0,Not applicable,1.0,47.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,9190.0,61600.0,126.61,2225.0,2935.0,0.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,409.0,Not applicable,59.0,130.0,Freddie Mac (FHLMC),Not a HOEPA loan,Secured by a first lien,4665.0,85000.0,104.39,735.0,928.0,1.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,713.0,Not applicable,73.0,160.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,8416.0,73500.0,73.77,1478.0,2078.0,0.0
2016,Consumer Financial Protection Bureau (CFPB),FHA-insured (Federal Housing Administration),One to four-family (other than manufactured housing),Home purchase,1,182.0,Not applicable,27.0,79.0,Ginnie Mae (GNMA),Not a HOEPA loan,Secured by a first lien,1701.0,63700.0,173.37,366.0,426.0,1.0
2016,Federal Reserve System (FRS),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,231.0,Not applicable,59.0,131.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,3442.0,85000.0,132.23,962.0,1099.0,0.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,2,80.0,Not applicable,19.0,72.0,Freddie Mac (FHLMC),Not a HOEPA loan,Secured by a first lien,5468.0,60200.0,69.38,1411.0,2660.0,1.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,202.0,Not applicable,53.0,62.0,"Commercial bank, savings bank or savings association",Not a HOEPA loan,Secured by a first lien,7451.0,72300.0,93.77,1761.0,2478.0,1.0
2016,Department of Housing and Urban Development (HUD),VA-guaranteed (Veterans Administration),One to four-family (other than manufactured housing),Home purchase,1,116.0,Not applicable,153.0,39.0,Other type of purchaser,Not a HOEPA loan,Secured by a first lien,4378.0,66900.0,85.83,1242.0,1935.0,1.0
2016,Office of the Comptroller of the Currency (OCC),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home improvement,1,24.0,Not applicable,203.0,103.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Not secured by a lien,6844.0,52400.0,109.65,2020.0,2807.0,1.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,280.0,Preapproval was requested,51.0,79.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,5092.0,64100.0,146.92,1499.0,2655.0,0.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,720.0,Not applicable,47.0,75.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,5899.0,72600.0,65.31,487.0,566.0,0.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,25.0,Not applicable,95.0,4.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,4187.0,61000.0,96.58,859.0,1330.0,0.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,249.0,Not applicable,35.0,62.0,Fannie Mae (FNMA),Not a HOEPA loan,Not applicable (purchased loans),6795.0,72800.0,82.56,1560.0,1808.0,1.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,127.0,Not applicable,135.0,23.0,Freddie Mac (FHLMC),Not a HOEPA loan,Secured by a first lien,20655.0,67200.0,114.67,5176.0,6142.0,1.0
2016,Office of the Comptroller of the Currency (OCC),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,104.0,Not applicable,125.0,56.0,"Life insurance company, credit union, mortgage bank, or finance company",Not a HOEPA loan,Secured by a first lien,6324.0,57900.0,124.56,1765.0,2326.0,1.0
2016,Department of Housing and Urban Development (HUD),FHA-insured (Federal Housing Administration),One to four-family (other than manufactured housing),Home purchase,1,269.0,Not applicable,133.0,66.0,Ginnie Mae (GNMA),Not a HOEPA loan,Not applicable (purchased loans),7197.0,70200.0,129.49,1988.0,2284.0,1.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,86.0,Not applicable,127.0,39.0,Freddie Mac (FHLMC),Not a HOEPA loan,Not applicable (purchased loans),6483.0,63900.0,125.32,1965.0,2624.0,1.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,289.0,Not applicable,105.0,118.0,Fannie Mae (FNMA),Not a HOEPA loan,Secured by a first lien,2907.0,51800.0,187.65,1051.0,1118.0,1.0
2016,Federal Reserve System (FRS),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,50.0,Preapproval was not requested,85.0,72.0,Affiliate institution,Not a HOEPA loan,Secured by a first lien,6996.0,71700.0,111.34,1763.0,2089.0,1.0
2016,Department of Housing and Urban Development (HUD),FHA-insured (Federal Housing Administration),One to four-family (other than manufactured housing),Refinancing,1,107.0,Not applicable,79.0,10.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,6101.0,70200.0,74.14,1209.0,1843.0,0.0
2016,Federal Deposit Insurance Corporation (FDIC),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,42.0,Not applicable,121.0,180.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a subordinate lien,8315.0,71700.0,119.81,2112.0,2695.0,0.0
2016,Federal Deposit Insurance Corporation (FDIC),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,380.0,Not applicable,5.0,134.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,1738.0,86700.0,234.89,618.0,669.0,1.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,115.0,Not applicable,51.0,1.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,4296.0,63500.0,99.86,1054.0,1520.0,0.0
2016,Consumer Financial Protection Bureau (CFPB),VA-guaranteed (Veterans Administration),One to four-family (other than manufactured housing),Home purchase,1,284.0,Not applicable,153.0,110.0,Ginnie Mae (GNMA),Not a HOEPA loan,Not applicable (purchased loans),3372.0,72300.0,76.46,858.0,1093.0,1.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,100.0,Not applicable,47.0,59.0,Freddie Mac (FHLMC),Not a HOEPA loan,Secured by a first lien,3559.0,57300.0,73.15,661.0,1490.0,1.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,150.0,Not applicable,29.0,107.0,Fannie Mae (FNMA),Not a HOEPA loan,Secured by a first lien,5408.0,53300.0,134.99,1154.0,1957.0,1.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,55.0,Not applicable,31.0,33.0,Other type of purchaser,Not a HOEPA loan,Secured by a first lien,3390.0,64900.0,69.48,408.0,706.0,1.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home purchase,1,212.0,Not applicable,25.0,88.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,5770.0,72600.0,164.13,1871.0,1868.0,0.0
2016,Department of Housing and Urban Development (HUD),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,212.0,Not applicable,25.0,163.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,5041.0,72600.0,146.27,1533.0,1836.0,0.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,122.0,Not applicable,23.0,68.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,7567.0,62600.0,152.25,2559.0,2873.0,0.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Home improvement,1,3.0,Not applicable,103.0,49.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Not secured by a lien,3526.0,56200.0,41.75,564.0,1153.0,1.0
2016,Consumer Financial Protection Bureau (CFPB),"Conventional (any loan other than FHA, VA, FSA, or RHS loans)",One to four-family (other than manufactured housing),Refinancing,1,341.0,Not applicable,153.0,181.0,Loan was not originated or was not sold in calendar year covered by register,Not a HOEPA loan,Secured by a first lien,4363.0,105700.0,158.72,1136.0,1297.0,1.0
